global_id,name,raw_key,embedding_000,embedding_001,embedding_002,embedding_003,embedding_004,embedding_005,embedding_006,embedding_007,embedding_008,embedding_009,embedding_010,embedding_011,embedding_012,embedding_013,embedding_014,embedding_015,embedding_016,embedding_017,embedding_018,embedding_019,embedding_020,embedding_021,embedding_022,embedding_023,embedding_024,embedding_025,embedding_026,embedding_027,embedding_028,embedding_029,embedding_030,embedding_031,embedding_032,embedding_033,embedding_034,embedding_035,embedding_036,embedding_037,embedding_038,embedding_039,embedding_040,embedding_041,embedding_042,embedding_043,embedding_044,embedding_045,embedding_046,embedding_047,embedding_048,embedding_049,embedding_050,embedding_051,embedding_052,embedding_053,embedding_054,embedding_055,embedding_056,embedding_057,embedding_058,embedding_059,embedding_060,embedding_061,embedding_062,embedding_063
1,Shingeki no Kyojin,anime_16498,-0.900463,0.651754,-0.348523,-0.702617,0.353932,0.997005,0.547401,0.668861,-0.684702,0.007506,-0.153818,-0.850689,-0.360446,1.237994,-0.151292,-1.317261,-0.59927,0.369634,-0.357745,-1.012474,1.103636,0.112259,0.610264,0.027246,0.789193,-1.532302,-0.030586,1.678304,-1.975443,0.990946,-0.864258,-0.105162,0.275086,-0.423512,0.72081,0.405096,0.546921,0.59523,0.021034,-0.544541,1.563667,0.1344,0.841732,1.241079,0.649398,0.412451,0.28464,-0.335412,-0.528936,1.227449,0.9198,-0.268584,1.379164,-1.413488,0.779901,0.059015,-0.56896,-1.008703,1.779928,0.179341,0.378166,0.470341,-1.156824,0.610287
2,Death Note,anime_1535,-0.932629,0.756051,-0.236211,-0.716726,0.456201,1.022267,0.620411,0.881584,-0.511471,0.097544,-0.2132,-0.771558,-0.604548,1.314389,-0.080918,-1.278738,-0.524563,0.439435,-0.386393,-0.894313,1.162667,0.019697,0.667781,0.078877,1.143029,-1.496202,0.124415,1.720446,-2.145999,1.176252,-0.829977,-0.057956,0.163017,-0.249761,0.592551,0.373533,0.462405,0.734568,-0.030087,-0.733262,1.452638,0.074472,0.937613,1.369853,0.471077,0.280795,0.227525,-0.614348,-0.547716,1.262499,1.159914,-0.511613,1.317516,-1.521071,0.743198,-0.138848,-0.407181,-1.020453,1.72374,0.146476,0.207584,0.618132,-1.136778,0.757474
3,Fullmetal Alchemist: Brotherhood,anime_5114,-1.027744,0.808766,-0.295649,-0.721251,0.364383,0.867078,0.514093,0.806656,-0.696757,0.066593,0.011109,-0.927539,-0.427327,1.262993,-0.079858,-1.35483,-0.460584,0.525195,-0.226108,-1.035333,1.131764,-0.011636,0.649358,0.05474,0.7728,-1.417179,-0.040492,1.62814,-2.003437,1.149174,-0.785846,0.014524,0.180406,-0.42643,0.792817,0.288382,0.636312,0.587524,0.031563,-0.733559,1.512612,0.169668,0.952487,1.371556,0.392153,0.424745,0.311208,-0.390345,-0.566899,1.12783,0.885832,-0.390011,1.463929,-1.298722,0.850604,-0.135223,-0.595187,-1.046818,1.8066,0.214724,0.262097,0.614371,-1.230663,0.667583
4,One Punch Man,anime_30276,-1.008934,0.921988,-0.338425,-0.909947,0.241703,0.32576,0.382452,0.478477,-0.703498,1.501847,-0.391599,-0.29901,-1.227277,1.048367,0.048685,-1.74733,-0.230736,0.653807,0.695808,-1.125009,1.185766,-0.765897,1.12888,-0.27976,1.205765,-1.007707,-0.002915,1.478907,-1.453561,1.252536,-0.410898,0.346575,-0.670807,0.144257,0.560414,1.199496,1.310925,0.947226,-0.20229,-0.358765,1.622973,-0.668224,1.398222,2.061769,0.401409,0.446342,-0.090074,-0.850888,-0.927684,1.025563,1.287732,-1.266541,1.506159,-1.287367,0.603063,0.028625,0.0912,-1.352865,2.164432,-0.031069,-0.205136,-0.352873,-1.022902,0.883448
5,Kimetsu no Yaiba,anime_38000,-0.978592,0.68446,-0.303434,-0.728807,0.445499,0.88353,0.508453,0.674029,-0.573472,-0.05532,-0.161001,-0.865568,-0.415651,1.130547,-0.036248,-1.280496,-0.699824,0.317426,-0.522778,-0.947116,1.080334,0.027985,0.666027,-0.011019,0.869561,-1.682112,-0.066338,1.789787,-1.962321,0.997393,-0.835401,-0.086276,0.241905,-0.390103,0.68629,0.517779,0.423619,0.737572,-0.092714,-0.478737,1.517042,0.095869,0.803512,1.12813,0.794213,0.529081,0.245765,-0.357651,-0.380516,1.229392,1.088861,-0.359207,1.378762,-1.431202,0.75542,0.010305,-0.568686,-1.150191,1.762366,0.262305,0.409221,0.531392,-1.286067,0.57641
6,Sword Art Online,anime_11757,-0.431286,0.580873,0.409133,-0.458189,0.207437,0.349841,0.339315,0.25769,-1.024725,0.64471,-0.506179,-0.590298,-1.151196,0.415441,-0.126102,-0.790887,-0.678227,0.317158,1.241985,-0.779064,0.468018,-0.443889,0.460395,-0.118217,0.029025,-0.608799,0.245664,1.483363,-1.101564,1.382711,-0.122728,-0.376008,0.063329,0.596649,1.002508,0.607116,0.908197,1.768322,-0.545119,-0.378112,1.378636,-0.207453,0.676682,1.120213,0.326821,-0.451826,0.512943,-0.129398,-0.776738,0.202995,-0.44577,-1.075626,0.800044,-1.104706,0.104626,0.080405,-0.264091,-0.855868,1.468546,-0.271408,0.109545,0.324097,-1.05738,1.22197
7,Boku no Hero Academia,anime_31964,-1.152545,0.731906,-0.285783,-0.738463,0.500962,0.74874,0.689292,0.879458,-0.605434,-0.110856,-0.041855,-1.076381,-0.517894,1.140231,-0.099595,-1.257605,-0.566678,0.535337,-0.44478,-0.947218,1.071383,-0.0542,0.762651,0.045187,0.77645,-1.560776,-0.0573,1.771952,-1.884839,1.135955,-0.878813,-0.053267,0.071555,-0.415923,0.714817,0.394197,0.521025,0.614743,0.013694,-0.62839,1.323982,-0.040955,0.750847,1.184733,0.486232,0.40219,0.287849,-0.436048,-0.664263,1.105787,0.841911,-0.503563,1.425761,-1.305904,0.849227,-0.191954,-0.280817,-0.910983,1.853645,0.236394,0.223123,0.642851,-1.354925,0.707741
8,Hunter x Hunter (2011),anime_11061,-1.114516,0.885247,-0.239567,-0.675805,0.492693,0.830803,0.550283,0.864054,-0.73022,0.044574,0.171279,-1.008306,-0.440965,1.240145,0.016759,-1.418999,-0.377419,0.638333,-0.19174,-1.042345,1.174525,-0.074208,0.72872,0.064883,0.639172,-1.444727,-0.119093,1.645314,-2.027513,1.174744,-0.677313,0.032904,0.125925,-0.289631,0.796301,0.186775,0.616711,0.643641,0.017194,-0.701549,1.495989,0.118981,1.010575,1.362622,0.40823,0.347527,0.231567,-0.488296,-0.723493,1.107819,1.034156,-0.537469,1.565667,-1.158416,0.776088,-0.192787,-0.500033,-1.049667,1.940956,0.124744,0.19712,0.761663,-1.332882,0.589309
9,Naruto,anime_20,-1.066754,0.844945,-0.309035,-0.608424,0.435726,0.864579,0.625804,0.727385,-0.727297,0.066951,0.080206,-1.069695,-0.416991,1.153832,0.037843,-1.405548,-0.380063,0.508795,-0.192641,-1.059591,1.128105,0.015039,0.778216,-0.013147,0.675624,-1.454443,-0.19935,1.691631,-1.944955,1.059846,-0.7316,-0.092068,0.222953,-0.328955,0.787474,0.227703,0.47778,0.514452,0.035114,-0.545684,1.529214,0.146056,0.934043,1.30474,0.566716,0.213688,0.271996,-0.338381,-0.718269,1.153034,1.103235,-0.405688,1.406084,-1.301573,0.794765,-0.128558,-0.584229,-1.008147,1.729801,0.146075,0.325976,0.630031,-1.327909,0.612975
10,Tokyo Ghoul,anime_22319,-1.017796,0.441884,-0.274473,-0.377538,-0.038647,0.708439,0.978631,0.877452,-0.660711,0.842892,-0.187089,-0.904079,-0.359153,0.991053,-0.090324,-1.795511,-0.110645,0.78199,-0.093976,-0.926897,0.926428,0.039301,1.197329,-0.009031,0.961314,-1.453646,0.094177,1.3649,-1.916903,1.140896,-0.700799,-0.183823,-0.434009,-0.931225,0.610791,0.716377,1.096955,1.172421,0.471573,-0.212831,1.413562,-0.509293,1.245022,1.06406,0.178894,0.634583,0.029018,-0.518646,-1.288214,1.125612,0.8488,-0.902952,1.558535,-1.390509,0.210517,-0.01889,0.074831,-1.272249,1.845289,0.525719,-0.68086,0.424825,-0.891971,1.313293
