global_id,name,raw_key,embedding_000,embedding_001,embedding_002,embedding_003,embedding_004,embedding_005,embedding_006,embedding_007,embedding_008,embedding_009,embedding_010,embedding_011,embedding_012,embedding_013,embedding_014,embedding_015,embedding_016,embedding_017,embedding_018,embedding_019,embedding_020,embedding_021,embedding_022,embedding_023,embedding_024,embedding_025,embedding_026,embedding_027,embedding_028,embedding_029,embedding_030,embedding_031,embedding_032,embedding_033,embedding_034,embedding_035,embedding_036,embedding_037,embedding_038,embedding_039,embedding_040,embedding_041,embedding_042,embedding_043,embedding_044,embedding_045,embedding_046,embedding_047,embedding_048,embedding_049,embedding_050,embedding_051,embedding_052,embedding_053,embedding_054,embedding_055,embedding_056,embedding_057,embedding_058,embedding_059,embedding_060,embedding_061,embedding_062,embedding_063
1010,Manga,source_manga,-0.085769,0.596317,-0.646868,0.091499,0.484488,0.13448,-0.079726,0.076395,0.196585,-0.448403,-0.110277,-0.179679,0.616003,-0.164823,0.431463,0.212412,0.14217,0.177802,-0.22573,0.420149,0.130157,0.668387,0.714053,-0.072565,0.301398,0.179806,0.267699,-0.130093,0.587898,0.298458,0.605865,-0.755551,0.005126,0.3389,-1.140188,-0.680607,0.06114,0.297906,-0.35518,-0.05937,0.451228,-0.131576,-0.297343,0.559601,-0.77338,0.800234,-0.186923,0.157086,0.259569,-0.094062,-0.274094,-0.251984,0.472148,-0.553693,-0.311278,0.142539,0.437635,-1.022121,-0.371323,0.535028,-0.429217,0.550259,0.103084,-0.031007
1032,Web manga,source_web_manga,0.192973,-0.103985,-0.778474,0.147887,0.759136,-0.20037,-0.265977,0.107537,-0.307157,-0.388881,0.092955,0.179316,-0.124157,-0.294524,-0.238997,0.474094,-0.033083,0.031029,0.054615,0.017027,-0.037243,0.207305,0.178813,0.189386,0.219246,0.321986,0.065385,-0.290628,0.684885,-0.141648,0.486119,-0.803665,-0.209879,-0.514857,-0.490816,-1.072888,0.042328,0.229661,-0.356298,0.604341,0.575851,-0.187776,-0.223711,-0.235639,-0.560273,0.089159,0.170091,-0.031245,0.234847,-0.707021,0.434948,0.383176,0.532457,-0.366888,0.203369,0.651185,0.378719,-0.541457,-0.643813,0.393062,0.249592,0.53347,0.608095,-0.240066
1047,Light novel,source_light_novel,-0.174672,0.087055,-0.663854,0.282486,0.760324,-0.017006,-0.340883,0.391044,-0.127081,-0.511301,0.213019,-0.569971,0.319465,-0.555745,-0.093347,-0.05082,0.096253,0.22977,-0.113411,0.426749,0.109986,0.278555,0.033151,0.265117,0.402395,0.616282,0.135365,-0.279628,0.891887,-0.201317,0.448261,-0.549025,-0.285354,-0.23188,-0.920638,-0.372649,0.030635,0.372605,-0.124744,0.229818,0.11563,0.091808,-0.394201,-0.120004,-0.567266,0.269007,-0.037764,0.085953,-0.002009,-0.209518,-0.018024,0.01801,0.409945,-0.411599,0.493722,0.240799,0.663914,-0.894116,-0.707473,-0.062103,0.112366,0.522659,0.204439,0.135582
1078,Original,source_original,-0.183726,0.188758,-0.083806,0.117039,0.820135,0.169982,-0.35504,0.201372,-0.434158,-0.279743,-0.048869,-0.204953,-0.484506,-0.144865,-0.333251,0.139178,-0.269811,-0.121186,-0.776829,0.729432,-0.061502,0.144005,0.17401,0.023974,0.525109,-0.016765,0.387211,-0.039347,0.202376,-0.210384,0.424068,-0.384467,0.17843,0.032875,-1.205545,-1.192958,-0.276779,0.354663,-0.613727,0.182578,0.359848,0.228415,-0.211857,0.395748,-0.330748,-0.00724,0.005761,-0.156244,0.200637,-0.348935,0.238174,0.061449,0.143168,-0.440768,-0.042618,0.752934,0.790398,-0.677158,-0.267142,0.179759,0.150227,0.399753,0.631353,-0.277744
1092,Visual novel,source_visual_novel,0.208566,0.118405,-0.926078,0.15192,0.815495,0.40875,-0.202906,0.25985,-0.213585,-0.254141,-0.252966,-0.008015,-0.065725,-0.530608,-0.132692,0.018644,0.32309,-0.327159,-0.126316,-0.120961,0.302977,-0.271313,0.353398,0.212672,0.140754,0.429602,-0.167681,-0.281071,0.48025,-0.117309,0.612717,-0.668982,-0.082666,-0.333642,-1.059941,-0.86305,-0.379965,-0.01881,-0.550949,0.618014,0.704208,-0.640398,-0.141529,0.521423,-0.610474,-0.032691,-0.033419,0.191835,0.133454,-0.684707,0.294802,0.139572,0.285634,-0.557125,0.271859,0.974756,0.421471,-0.874958,-0.663221,-0.175026,0.071061,0.728485,0.148447,-0.170618
1308,Novel,source_novel,0.021133,-0.181308,-0.428409,0.366636,0.439522,0.25713,-0.247765,0.108518,-0.198838,-0.473489,-0.555908,0.194742,-0.284935,-0.35306,0.150736,0.446597,0.325159,0.0435,-0.464249,-0.080128,0.234109,-0.145373,0.374708,0.225497,0.448774,0.421188,-0.028686,-0.124524,0.556163,0.301685,0.38463,-0.557289,0.246431,-0.130353,-0.775108,-1.061354,-0.303147,0.609895,-0.040848,0.576261,0.538008,-0.254095,-0.30584,0.542133,-0.535051,0.203226,-0.561237,0.109089,0.575568,-0.655241,0.300213,0.630928,0.892739,-0.269,0.199796,1.09303,0.554731,-0.649974,-0.254961,0.13481,0.624856,0.608998,0.058309,0.105586
1513,4-koma manga,source_4_koma_manga,0.261072,0.080785,-0.700664,0.123022,0.720504,-0.224699,-0.423057,0.495727,-0.502131,-0.342026,-0.074713,0.619365,0.201542,-0.819552,-0.275556,0.540425,0.30081,-0.353425,-0.527857,0.253145,-0.010134,0.261984,0.258741,0.013194,-0.104848,-0.083187,-0.298043,-0.331307,0.56568,0.054655,0.572894,-0.395598,-0.342424,-0.679819,-0.754272,-1.024211,0.096035,0.641479,-0.698137,0.211528,0.733103,-0.2809,0.111345,0.301764,-0.699385,0.057468,-0.286381,-0.040409,0.314271,-0.062577,0.531307,0.409024,0.414169,-0.36796,-0.261231,0.48328,0.376284,-0.596088,-0.179584,0.509661,0.073185,0.787698,0.370266,-0.252831
1561,Game,source_game,0.446233,-0.064031,-0.516124,0.248509,0.615412,-0.233224,-0.403482,0.054709,-0.532668,-0.594727,-0.371824,-0.022052,-0.892923,-0.511127,-0.667381,0.388609,0.403756,0.00398,-0.258964,0.112851,0.229684,-0.351059,0.292189,0.207535,0.628621,0.119572,0.071716,0.01347,0.397922,-0.069408,0.435711,-0.503523,0.03533,-0.498789,-0.939306,-1.160281,-0.712478,0.22694,-0.329209,0.562979,0.454267,-0.084253,0.231135,0.393631,-0.230979,0.251913,-0.613011,-0.023389,0.410734,-0.712424,0.502523,0.105332,0.711816,-0.567057,-0.19376,0.846145,0.732898,-0.577246,-0.489773,0.003781,-0.054225,0.325074,1.037475,-0.459929
2023,Mixed media,source_mixed_media,0.196762,-0.461056,-0.474389,0.064984,0.477031,0.058035,-0.433211,-0.060263,-0.517148,-0.694526,-0.288284,0.203263,-0.031181,-0.448941,0.09197,0.566007,0.51482,-0.943765,-0.210102,-0.356865,0.173726,-0.651116,0.038748,0.436717,0.409293,0.298516,0.022269,-0.074825,0.369467,0.588162,0.722838,-0.506467,-0.423386,-0.189391,-0.412789,-1.10728,-0.380318,0.053585,-0.531216,0.483824,0.786788,-0.001157,0.126697,0.42363,-0.747825,0.117287,-0.457649,-0.012652,0.3743,-0.936718,0.645444,0.040843,0.209529,-0.271083,-0.527428,0.635833,-0.030558,-0.884397,-0.309334,-0.353601,0.281765,0.60522,0.55788,-0.361955
2154,Other,source_other,0.362001,-0.082976,-0.473294,0.22345,0.754376,-0.522548,-0.231782,0.115215,-0.821895,-0.634255,-0.090015,0.116682,-0.479968,-0.393232,-0.045201,0.734838,0.101531,-0.208534,-0.333676,-0.555692,0.207047,-0.263829,0.000632,0.599674,0.133911,0.206945,0.144554,0.06016,0.652188,0.398442,0.826761,-0.483189,-0.277286,-0.240785,-0.752356,-1.202315,0.465665,0.421692,-0.521812,0.695642,0.920571,0.178697,-0.223218,0.337647,-1.088164,0.104905,-0.209675,0.090535,0.437702,-0.918269,0.368995,-0.102937,0.204503,-0.498608,-0.127301,1.110027,0.521851,-0.727221,-0.725316,0.254983,-0.331843,0.581723,0.553462,-0.590513
