global_id,name,raw_key,embedding_000,embedding_001,embedding_002,embedding_003,embedding_004,embedding_005,embedding_006,embedding_007,embedding_008,embedding_009,embedding_010,embedding_011,embedding_012,embedding_013,embedding_014,embedding_015,embedding_016,embedding_017,embedding_018,embedding_019,embedding_020,embedding_021,embedding_022,embedding_023,embedding_024,embedding_025,embedding_026,embedding_027,embedding_028,embedding_029,embedding_030,embedding_031,embedding_032,embedding_033,embedding_034,embedding_035,embedding_036,embedding_037,embedding_038,embedding_039,embedding_040,embedding_041,embedding_042,embedding_043,embedding_044,embedding_045,embedding_046,embedding_047,embedding_048,embedding_049,embedding_050,embedding_051,embedding_052,embedding_053,embedding_054,embedding_055,embedding_056,embedding_057,embedding_058,embedding_059,embedding_060,embedding_061,embedding_062,embedding_063
1011,"Araki, Tetsurou",staff_5088,-0.114177,-0.420189,-0.330477,-0.00693,0.384836,-0.060076,0.539949,-0.333683,0.284511,-0.156657,0.620303,1.134083,0.627843,-0.103542,-0.968075,-0.564766,-0.012291,0.820821,-0.124252,0.098151,0.406409,0.31907,0.104355,0.352821,0.406597,-0.209408,0.086137,0.397932,0.266861,-0.381031,0.340007,-0.476663,0.287979,0.301067,-0.269994,0.506964,-0.263611,-0.267857,-0.030389,0.177629,-1.189715,-0.101449,-0.253115,-0.076548,-0.055613,-0.215025,-0.05955,-0.741482,0.677557,-0.749187,0.48138,-0.148488,-0.229778,-0.408611,-0.605704,-0.457173,-0.173605,-0.041914,-0.534601,0.233244,-0.078598,0.4584,-0.07589,-0.162057
1012,"Ishikawa, Yui",staff_5142,0.063655,-0.097452,0.03394,-0.276594,0.01028,0.224454,0.18575,-0.164659,0.225934,0.09824,-0.12188,0.075309,0.141319,-0.015494,0.009576,-0.304159,0.241081,0.028275,0.110347,0.006315,0.252934,0.004117,-0.191661,-0.15209,0.148163,0.283565,-0.466392,0.150205,-0.227567,0.265599,-0.412812,0.046958,0.265988,-0.321871,0.392515,-0.194593,0.08424,0.032233,-0.125047,0.077215,0.150306,0.049192,0.361741,-0.274542,-0.011081,-0.362453,0.01491,-0.276415,0.083993,0.26862,-0.110329,0.006421,0.171371,0.277471,-0.020106,-0.326778,0.252299,0.134639,-0.195642,0.231305,-0.217945,-0.034872,0.086297,-0.197754
1013,"Inoue, Marina",staff_158,0.069376,-0.096905,0.01388,-0.254704,0.044585,0.191706,0.197767,-0.174518,0.205501,0.09173,-0.092735,0.070431,0.147317,-0.032003,-0.000859,-0.310827,0.231789,0.004601,0.116501,0.003402,0.231841,-0.013139,-0.179933,-0.162035,0.135483,0.287551,-0.466067,0.157989,-0.219401,0.240267,-0.419291,0.061372,0.278338,-0.345449,0.394566,-0.214802,0.079084,0.036506,-0.151822,0.083968,0.156865,0.037805,0.353105,-0.291464,0.005038,-0.356681,0.019586,-0.280168,0.099583,0.233113,-0.107851,-0.006845,0.151432,0.300465,-0.024937,-0.310051,0.241289,0.118987,-0.183668,0.247734,-0.240272,-0.032629,0.09367,-0.204153
1014,"Kaji, Yuuki",staff_672,0.088493,-0.103781,0.029312,-0.263667,0.019589,0.17704,0.175948,-0.161282,0.210551,0.098165,-0.090751,0.077543,0.140407,-0.026589,0.003285,-0.341542,0.227453,0.020038,0.114983,-0.005155,0.227682,-0.00275,-0.181918,-0.169195,0.136673,0.279984,-0.479882,0.158774,-0.212621,0.232881,-0.398253,0.059327,0.257501,-0.350478,0.377511,-0.205009,0.076827,0.047875,-0.153643,0.095364,0.159272,0.04457,0.335913,-0.28216,0.006329,-0.338376,0.013734,-0.281051,0.089305,0.220946,-0.134629,-0.020658,0.146751,0.294554,-0.007324,-0.315734,0.22832,0.140762,-0.174324,0.24082,-0.227916,-0.017117,0.073472,-0.19364
1018,"Yamaguchi, Kappei",staff_67,0.104326,-0.106165,0.013517,-0.218621,0.046487,0.142502,0.165886,-0.180468,0.19955,0.087585,-0.051421,0.071494,0.134653,-0.037666,-0.03562,-0.338417,0.20441,-0.015883,0.101711,-0.006258,0.191864,-0.005808,-0.153676,-0.203456,0.114928,0.255642,-0.482327,0.175903,-0.225839,0.211284,-0.382054,0.068529,0.252205,-0.365376,0.367554,-0.203971,0.076597,0.079245,-0.182774,0.103179,0.166869,0.050655,0.298227,-0.279786,0.025051,-0.331052,0.00367,-0.289218,0.096198,0.176503,-0.151196,-0.034986,0.122308,0.314342,-0.009039,-0.291814,0.203984,0.136498,-0.167303,0.259374,-0.242286,0.012467,0.069937,-0.182945
1019,"Nakamura, Shidou",staff_292,0.090825,-0.141491,0.015241,-0.198124,0.055968,0.174972,0.183977,-0.207572,0.216221,0.070246,-0.061085,0.060515,0.113969,-0.0075,-0.060046,-0.362415,0.205045,-0.045726,0.117854,-0.007102,0.162849,-0.00902,-0.172267,-0.17268,0.132575,0.248049,-0.488739,0.16709,-0.228243,0.214519,-0.357383,0.048592,0.272775,-0.370256,0.357975,-0.206319,0.062899,0.071152,-0.178323,0.114384,0.178451,0.077078,0.271145,-0.27547,0.014047,-0.339919,-0.001211,-0.279279,0.111688,0.172049,-0.140064,-0.06858,0.132123,0.323424,0.016944,-0.267005,0.216575,0.120348,-0.156911,0.265779,-0.232895,0.049365,0.084229,-0.149546
1020,"Miyano, Mamoru",staff_65,0.026489,-0.067107,0.083605,-0.25506,-0.025017,0.177758,0.213098,-0.083269,0.273392,0.090491,-0.180867,0.077782,0.139846,0.042322,0.002143,-0.3792,0.316093,0.097604,0.138629,0.006858,0.23294,-0.000395,-0.222069,-0.113336,0.118035,0.268129,-0.461551,0.123501,-0.173053,0.183777,-0.436235,0.024726,0.267832,-0.371691,0.404842,-0.210288,0.032391,-0.01901,-0.184484,0.12375,0.106731,0.089675,0.415084,-0.250353,-0.081675,-0.303646,0.081465,-0.330745,0.087909,0.288585,-0.082165,-0.035932,0.21936,0.23924,0.030725,-0.375809,0.272402,0.119637,-0.124646,0.254053,-0.209809,-0.069497,0.102089,-0.158185
1024,"Irie, Yasuhiro",staff_6232,-0.110118,-0.425976,-0.309982,0.016476,0.384059,-0.050926,0.531333,-0.338436,0.279279,-0.156777,0.599008,1.14321,0.597637,-0.095008,-0.996722,-0.571704,-0.038152,0.822792,-0.116366,0.070564,0.40421,0.325508,0.10947,0.339585,0.418196,-0.190707,0.049195,0.41638,0.242696,-0.357037,0.334977,-0.455109,0.275108,0.300699,-0.26049,0.484221,-0.297659,-0.259163,-0.029544,0.169611,-1.157951,-0.096103,-0.248666,-0.083988,-0.036843,-0.206894,-0.072996,-0.723563,0.696635,-0.742045,0.467584,-0.176825,-0.21865,-0.398188,-0.606627,-0.461661,-0.152736,-0.034814,-0.538637,0.251488,-0.081547,0.452684,-0.077124,-0.170944
1025,"Kugimiya, Rie",staff_8,0.075736,-0.10872,0.001709,-0.256413,0.051119,0.191138,0.195593,-0.18815,0.189979,0.085678,-0.075922,0.067583,0.154543,-0.045448,0.00383,-0.302204,0.211017,-0.007783,0.115085,-0.004011,0.234503,-0.018008,-0.175729,-0.166631,0.137924,0.293725,-0.476055,0.159028,-0.223166,0.249216,-0.410083,0.07278,0.271898,-0.326249,0.391588,-0.219793,0.080537,0.051766,-0.148206,0.078375,0.158206,0.030743,0.345525,-0.299223,0.01709,-0.365419,0.005281,-0.269097,0.098223,0.228089,-0.118955,0.003271,0.140759,0.309662,-0.032561,-0.301707,0.240627,0.116523,-0.190098,0.249708,-0.249579,-0.02563,0.096204,-0.214814
1026,"Park, Romi",staff_82,0.072347,-0.076147,0.018701,-0.211862,0.045528,0.123239,0.182872,-0.133666,0.212749,0.090359,-0.084312,0.06619,0.138978,-0.023101,-0.042475,-0.336141,0.251049,0.011838,0.106482,-0.01359,0.207713,-0.005862,-0.157011,-0.18726,0.088032,0.260324,-0.472578,0.154307,-0.200218,0.174734,-0.406022,0.054553,0.264037,-0.387285,0.382225,-0.218087,0.045764,0.053274,-0.194859,0.109732,0.140679,0.06504,0.338795,-0.2667,-0.014989,-0.306709,0.030647,-0.305878,0.08444,0.201547,-0.12657,-0.043637,0.145906,0.30054,0.005677,-0.32381,0.224226,0.109956,-0.145451,0.273035,-0.253612,-0.005554,0.084656,-0.17033
