global_id,name,raw_key,embedding_000,embedding_001,embedding_002,embedding_003,embedding_004,embedding_005,embedding_006,embedding_007,embedding_008,embedding_009,embedding_010,embedding_011,embedding_012,embedding_013,embedding_014,embedding_015,embedding_016,embedding_017,embedding_018,embedding_019,embedding_020,embedding_021,embedding_022,embedding_023,embedding_024,embedding_025,embedding_026,embedding_027,embedding_028,embedding_029,embedding_030,embedding_031,embedding_032,embedding_033,embedding_034,embedding_035,embedding_036,embedding_037,embedding_038,embedding_039,embedding_040,embedding_041,embedding_042,embedding_043,embedding_044,embedding_045,embedding_046,embedding_047,embedding_048,embedding_049,embedding_050,embedding_051,embedding_052,embedding_053,embedding_054,embedding_055,embedding_056,embedding_057,embedding_058,embedding_059,embedding_060,embedding_061,embedding_062,embedding_063
1001,Wit Studio,studio_858,-0.003298,-0.184489,0.043974,0.153421,-0.092879,-0.085382,-0.204943,0.127367,-0.016432,-0.279267,0.486238,0.278102,0.183394,0.190945,-0.278614,0.079706,0.094152,0.09176,0.247432,0.025831,-0.039423,-0.324635,0.012458,0.013194,-0.248545,0.101908,0.215333,-0.183713,0.067794,0.441258,-0.190644,-0.304495,0.73395,0.326529,0.25108,-0.448294,0.014457,-0.166644,-0.00842,0.002255,0.044776,-0.381067,0.398131,0.057878,0.326174,-0.099014,-0.021084,-0.658827,-0.421545,0.061938,0.071781,0.137643,-0.145714,-0.102736,0.192163,-0.166161,-0.004984,-0.12244,-0.165041,0.060104,0.007824,0.163728,-0.191752,-0.270421
1015,Madhouse,studio_11,-0.168846,-0.01972,-0.106578,0.030147,-0.023275,-0.172952,-0.31764,0.310134,0.040051,-0.267327,0.650282,0.25076,0.142195,0.092626,-0.490827,0.109313,0.270496,0.265813,0.11268,0.110515,-0.142433,-0.265833,-0.005426,0.044831,-0.14745,0.119726,0.306282,-0.24718,-0.03306,0.521336,-0.103315,-0.442033,0.705452,0.192708,0.098774,-0.439574,-0.063388,-0.307798,-0.001642,0.17191,-0.073647,-0.237406,0.377394,0.09632,0.272885,-0.086122,-0.066828,-0.681043,-0.472628,0.046961,0.060407,0.059635,-0.418688,-0.102799,0.150744,-0.442397,0.221117,-0.062021,-0.282563,0.117801,0.021585,0.093445,-0.109596,-0.140488
1021,Bones,studio_4,-0.126672,-0.057586,-0.106481,0.074161,-0.068582,-0.146543,-0.290018,0.267149,0.010285,-0.263967,0.614355,0.250409,0.129111,0.111536,-0.435472,0.088387,0.224917,0.218074,0.140969,0.086247,-0.123946,-0.275827,0.009279,0.046104,-0.191828,0.102725,0.275669,-0.23717,-0.016654,0.478022,-0.148152,-0.405428,0.700817,0.236532,0.131618,-0.429632,-0.064163,-0.267831,-0.000898,0.120183,-0.046782,-0.236077,0.371071,0.096608,0.301184,-0.084734,-0.089624,-0.683556,-0.467753,0.07657,0.063031,0.070089,-0.335704,-0.114037,0.149374,-0.349487,0.160875,-0.0981,-0.263598,0.105369,-5e-06,0.123948,-0.147682,-0.172347
1036,ufotable,studio_43,0.029263,-0.200181,0.08261,0.188929,-0.077981,-0.068984,-0.16229,0.135403,-0.016397,-0.296271,0.432952,0.294294,0.214888,0.216961,-0.274283,0.076274,0.061092,0.092453,0.268525,0.033027,-0.04672,-0.312186,-0.001879,0.016451,-0.224715,0.090771,0.180048,-0.169604,0.097815,0.436876,-0.193024,-0.312524,0.758025,0.317434,0.250383,-0.440344,0.026871,-0.138488,-0.000593,0.009259,0.048967,-0.414563,0.426741,0.068559,0.307695,-0.067343,0.046659,-0.670477,-0.422504,0.066921,0.077749,0.164204,-0.125471,-0.081965,0.199923,-0.159393,-0.025026,-0.090349,-0.201835,0.02942,0.011445,0.158204,-0.13908,-0.299692
1044,A-1 Pictures,studio_56,-0.214357,0.059892,-0.187371,0.010089,-0.007756,-0.193553,-0.321824,0.353288,0.054189,-0.243263,0.687719,0.249665,0.115599,0.080501,-0.541645,0.063899,0.308621,0.322159,0.049103,0.117265,-0.186442,-0.20523,-0.005725,0.084462,-0.12111,0.063426,0.328339,-0.263923,-0.054928,0.499944,-0.111793,-0.482548,0.682062,0.193629,0.070019,-0.428239,-0.129104,-0.327343,0.02082,0.221868,-0.150271,-0.161164,0.368401,0.161765,0.257268,-0.021079,-0.100501,-0.702476,-0.506242,0.058211,0.03125,0.052367,-0.458512,-0.094042,0.131069,-0.49435,0.27846,-0.039608,-0.349461,0.094093,0.0001,0.094624,-0.090778,-0.135624
1064,Studio Pierrot,studio_1,-0.028551,-0.154787,0.036555,0.131893,-0.070365,-0.09654,-0.223294,0.152684,-0.01252,-0.27506,0.526742,0.255482,0.164036,0.187644,-0.319952,0.091363,0.114957,0.107363,0.220445,0.037175,-0.024393,-0.340059,0.041774,-0.00631,-0.248921,0.109242,0.232862,-0.181713,0.052603,0.452529,-0.186809,-0.329068,0.722369,0.329553,0.246936,-0.449243,0.00067,-0.174483,0.016112,0.021506,0.0218,-0.363148,0.38789,0.064922,0.335756,-0.094892,-0.034191,-0.66517,-0.406046,0.05929,0.080168,0.154347,-0.174423,-0.102739,0.170041,-0.181569,0.013708,-0.111513,-0.156816,0.075766,0.006652,0.157976,-0.184394,-0.261303
1077,CoMix Wave Films,studio_291,0.131006,-0.389654,0.071404,0.320572,-0.149492,-0.09812,-0.202318,0.050165,-0.055715,-0.3038,0.412728,0.320714,0.173881,0.164702,-0.133055,0.040463,0.061803,0.022474,0.291674,0.003331,-0.020568,-0.22027,-0.074293,0.087367,-0.208577,0.100988,0.090427,-0.168212,0.119955,0.481198,-0.17226,-0.229739,0.790367,0.299532,0.204831,-0.406077,0.093658,-0.168281,-0.09204,-0.126005,0.18284,-0.442875,0.423352,0.027695,0.336426,-0.096853,0.038653,-0.755314,-0.428692,0.064346,0.127507,0.097851,-0.05145,-0.105872,0.334616,-0.103054,-0.124708,-0.205335,-0.146358,0.064991,0.08632,0.212998,-0.20044,-0.403489
1083,MAPPA,studio_569,-0.04233,-0.143199,0.029162,0.144335,-0.06087,-0.101706,-0.221256,0.178393,0.005058,-0.274882,0.542906,0.258711,0.177707,0.193127,-0.328217,0.094828,0.126116,0.126815,0.22823,0.053349,-0.028801,-0.331138,0.02287,-0.007562,-0.22732,0.103545,0.245424,-0.205263,0.038676,0.476549,-0.167119,-0.351586,0.731776,0.30366,0.233832,-0.444347,-0.00405,-0.177544,0.003808,0.03863,0.022331,-0.367834,0.397316,0.057905,0.321083,-0.09859,-0.018176,-0.670609,-0.411184,0.050073,0.076354,0.158921,-0.196787,-0.097874,0.16985,-0.218367,0.032566,-0.102566,-0.168435,0.076127,0.01356,0.158588,-0.181496,-0.24443
1089,White Fox,studio_314,0.014307,-0.173721,0.077083,0.136679,-0.076698,-0.098373,-0.194942,0.117466,0.028943,-0.260267,0.436909,0.355335,0.250805,0.165002,-0.266635,0.07053,0.148555,0.102551,0.250487,0.036103,-0.067957,-0.301625,-0.023932,0.092777,-0.172157,0.12042,0.211251,-0.111084,0.146158,0.476601,-0.138092,-0.291059,0.780221,0.332474,0.213173,-0.471289,0.053147,-0.158612,-0.023772,0.011921,0.07701,-0.406705,0.405699,0.056163,0.249417,-0.082129,0.0699,-0.672054,-0.473643,0.011981,0.050161,0.143942,-0.158435,-0.058488,0.232026,-0.232528,0.033778,-0.078311,-0.19474,0.02883,0.049099,0.082814,-0.119052,-0.272849
1106,Toei Animation,studio_18,0.025459,-0.21565,0.070717,0.174304,-0.089479,-0.091992,-0.197611,0.097634,-0.017725,-0.27994,0.473308,0.262389,0.17386,0.216673,-0.255294,0.08529,0.081426,0.06898,0.237609,0.010866,0.001408,-0.322501,0.028458,-0.01075,-0.260788,0.110344,0.187442,-0.170065,0.092639,0.440115,-0.204386,-0.278225,0.751421,0.35985,0.282062,-0.444327,0.049985,-0.152913,0.007195,-0.042018,0.06797,-0.405295,0.399109,0.054562,0.359038,-0.094408,-0.003469,-0.668398,-0.389681,0.053774,0.086216,0.160363,-0.109146,-0.097047,0.206438,-0.12121,-0.03995,-0.122528,-0.137511,0.068775,0.013886,0.184354,-0.196261,-0.314441
