global_id,name,raw_key,embedding_000,embedding_001,embedding_002,embedding_003,embedding_004,embedding_005,embedding_006,embedding_007,embedding_008,embedding_009,embedding_010,embedding_011,embedding_012,embedding_013,embedding_014,embedding_015,embedding_016,embedding_017,embedding_018,embedding_019,embedding_020,embedding_021,embedding_022,embedding_023,embedding_024,embedding_025,embedding_026,embedding_027,embedding_028,embedding_029,embedding_030,embedding_031,embedding_032,embedding_033,embedding_034,embedding_035,embedding_036,embedding_037,embedding_038,embedding_039,embedding_040,embedding_041,embedding_042,embedding_043,embedding_044,embedding_045,embedding_046,embedding_047,embedding_048,embedding_049,embedding_050,embedding_051,embedding_052,embedding_053,embedding_054,embedding_055,embedding_056,embedding_057,embedding_058,embedding_059,embedding_060,embedding_061,embedding_062,embedding_063
1002,Action,theme_action,0.553557,-0.013485,-0.222842,0.654658,0.366842,-0.077589,-0.129687,0.353662,0.226791,-0.15764,-0.235753,-0.180531,-0.325416,-0.240121,-0.051312,0.05115,-0.224254,-0.475211,-0.072607,0.014524,0.068989,0.548559,0.027138,-0.437067,-0.042776,-0.08897,0.079035,-0.142556,-0.133729,-0.149414,-0.547368,-0.325319,0.055841,-0.499965,0.584362,-0.079784,0.233979,-0.014388,0.078346,-0.141534,0.038475,0.008414,0.303921,0.303556,-0.110508,0.224431,-0.249883,0.116093,-0.639809,-0.815269,0.181099,-0.033586,0.048685,0.12455,-0.071318,-0.481421,-0.038988,0.333408,0.406248,-0.225838,-0.716615,0.191922,0.439008,-0.042058
1003,Award Winning,theme_award_winning,-0.064182,0.289384,-0.185914,0.523248,0.28598,0.102124,-0.304331,-0.023318,-0.178029,0.152875,-0.059509,0.085628,-0.425945,0.272654,0.325072,0.28321,0.380422,0.098443,-0.372938,0.139678,-0.402956,0.124593,-0.215832,0.178572,-0.088768,-0.185084,-0.046789,-0.111502,-0.237695,-0.107169,-0.587341,0.114016,0.338146,0.22358,0.060377,-0.177806,0.366897,0.067956,-0.239078,-0.249796,-0.13109,-0.004436,-0.210042,0.071031,0.01403,0.221847,-0.249794,-0.176914,-0.089819,-0.14707,0.096655,0.089255,0.186007,0.151165,0.067838,-0.374923,0.289272,-0.094824,0.347199,-0.205734,0.108252,0.087783,0.148482,0.057952
1004,Drama,theme_drama,0.045421,0.152312,-0.124725,0.202027,-0.235494,-0.540601,-0.477994,0.053762,-0.115879,0.045729,-0.311545,-0.182654,-0.158543,0.212715,0.222599,-0.052494,-0.061805,-0.451264,-0.234789,0.222684,0.026313,0.282445,-0.262697,-0.082392,0.091375,-0.413785,0.234576,0.032591,0.431844,0.135047,-0.161197,-0.107418,0.226887,-0.102807,0.328026,-0.289484,0.177621,-0.107739,0.171396,-0.125508,0.045599,0.092718,0.432864,-0.103674,-0.065345,0.47481,-0.114631,-0.29434,-0.034076,-0.409557,0.388016,-0.108757,0.171938,0.047597,0.034643,-0.306439,-0.123477,0.043268,0.433541,-0.387002,-0.421976,-0.007939,-0.009334,-0.330934
1005,Suspense,theme_suspense,-0.015157,0.101671,-0.474363,0.271807,-0.112158,-0.416402,-0.227596,0.179437,-0.063805,0.079128,-0.040321,-0.258432,-0.150498,-0.16253,0.144742,0.060472,0.154181,-0.181654,-0.064181,0.145225,0.030776,0.112304,0.005536,-0.098816,0.148323,-0.104025,-0.187621,0.260123,-0.014733,-0.331823,-0.057672,-0.060852,0.02298,0.02244,0.146221,-0.049442,0.122809,-0.217205,0.069592,-0.362717,0.034635,0.053863,-0.214377,0.094206,-0.074424,0.052514,0.171588,-0.056856,-0.310549,-0.039469,0.040255,-0.003529,0.239811,-0.324112,-0.148574,-0.08379,0.202473,-0.137467,0.246404,-0.237156,-0.362191,0.054821,0.198848,0.376658
1006,Gore,theme_gore,-0.115769,0.275993,-0.276124,0.15329,0.295279,-0.433353,-0.134157,0.043759,0.171385,-0.015966,-0.037504,0.146363,-0.269416,-0.091185,0.139249,-0.029075,-0.09445,-0.083208,0.083594,-0.096511,-0.005498,0.115884,-0.002147,-0.015974,0.124972,-0.429895,-0.117585,-0.096602,-0.052571,-0.191837,-0.245186,0.074998,0.091205,-0.211957,0.048328,-0.043561,-0.188448,0.168981,0.134099,-0.139007,-0.090996,0.043402,-0.122602,-0.14369,0.297572,0.103761,0.06376,0.114538,-0.489824,-0.262097,0.008708,-0.280958,0.177775,-0.198497,0.254626,-0.237521,0.005274,0.216375,0.394996,0.207277,-0.182173,0.040009,0.247805,0.052514
1007,Military,theme_military,-0.001168,0.450919,0.013374,0.311316,0.249438,-0.466791,-0.005264,-0.3522,-0.012709,-0.027083,-0.355072,0.198151,-0.288104,0.082816,-0.040473,0.164616,0.143269,-0.314558,0.017188,-0.066259,-0.179087,0.19949,-0.085634,-0.184786,0.283472,-0.265113,0.052873,-0.062341,-0.191147,-0.267906,-0.50424,-0.271888,0.033667,-0.138116,0.13585,-0.188549,0.144846,-0.115235,0.015824,-0.354404,-0.302049,0.149037,-0.312881,-0.133533,0.035967,0.103649,-0.23043,0.071002,-0.441218,-0.275512,-0.070184,-0.414646,0.395903,0.022902,-0.147773,-0.331406,-0.029228,0.258338,0.473479,0.158754,0.082748,0.132602,0.26544,-0.10013
1008,Survival,theme_survival,-0.075782,0.198143,-0.428018,0.522926,0.208412,0.352653,0.036512,0.028951,0.101548,-0.380196,-0.146029,0.113847,-0.056261,0.025229,0.072897,-0.019474,-0.256672,-0.092171,0.011551,-0.013646,0.005712,0.180174,0.019679,-0.076661,0.200737,-0.052817,0.030099,-0.35663,-0.007606,-0.229691,-0.552031,0.078788,0.383179,-0.308382,0.275371,0.038863,0.348444,0.149475,0.248401,-0.319582,-0.125347,-0.030912,-0.003239,0.074975,0.136,-0.091539,-0.180542,0.044106,-0.596518,-0.118464,-0.03079,0.353313,0.134575,-0.214812,0.142242,-0.106658,-0.025608,0.03928,0.532714,0.065512,-0.027448,-0.006365,0.350494,0.158247
1016,Supernatural,theme_supernatural,0.01955,0.070721,-0.664944,0.340713,-0.003488,-0.244771,-0.088297,-0.315058,-0.178468,-0.262214,-0.421234,0.042287,0.056974,-0.18932,-0.056455,0.083655,0.292386,-0.067018,0.003028,0.369647,-0.090021,0.384449,0.011341,0.051808,0.241848,-0.266423,-0.09853,-0.082312,0.246218,-0.451792,-0.181745,0.09481,0.157663,-0.230367,0.341879,-0.075742,0.153989,0.061955,0.010971,-0.132007,-0.01535,0.21488,0.021006,0.147943,-0.14729,-0.052299,-0.050188,0.326325,-0.538715,0.074269,-0.224949,-0.36769,0.304643,-0.047491,0.195071,0.028026,0.223785,-0.008738,0.236457,0.015641,0.062788,-0.131873,0.64006,-0.121233
1017,Psychological,theme_psychological,-0.008912,0.201202,-0.163414,0.330897,-0.050279,-0.283889,-0.470904,0.065577,0.144802,0.097873,-0.182167,0.224092,0.047934,0.152038,0.316291,-0.149268,0.248554,-0.037258,0.067268,0.6446,-0.240157,0.194726,-0.171388,-0.012981,0.068066,-0.160179,-0.013174,-0.096564,0.104873,-0.035117,-0.207464,0.105345,-0.018259,-0.051427,0.266623,-0.26836,0.095617,0.148588,-0.184844,-0.31635,0.02986,-0.217583,0.137757,0.162236,0.055731,-0.02435,-0.157189,0.425826,-0.755587,0.081734,-0.192146,-0.592115,0.332931,0.157532,-0.056764,-0.306134,0.352857,0.069474,0.487085,0.247448,0.197316,0.010053,0.225459,0.149565
1022,Adventure,theme_adventure,0.179969,0.113745,-0.201703,0.494813,0.361208,0.034058,-0.228604,0.500721,0.200571,-0.283498,-0.244376,-0.497382,-0.292352,-0.074183,-0.149186,-0.126846,-0.454522,-0.470118,-0.008969,-0.140388,0.412383,-0.045435,0.048577,-0.344322,0.105197,-0.082778,0.229344,0.098179,-0.107094,-0.730564,-0.309888,-0.049368,-0.203811,-0.254228,0.425739,-0.08154,0.175251,0.326765,0.124311,-0.269892,0.231354,-0.355252,0.365889,-0.242199,-0.196123,0.28347,-0.222719,0.064081,-0.450238,-0.353662,0.024253,-0.133045,0.024398,-0.043542,-0.092577,-0.648193,0.155737,0.22235,0.373117,-0.326602,-0.285859,-0.318,0.333178,-0.061912
